Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS\
1,Alex Abrines\\abrinal01,SG,25,OKC,12,0,275,29,79,.367,20,59,.339,9,20,.450,.494,6,7,.857,2,18,20,9,9,3,6,22,84\
2,Jaylen Adams\\adamsja01,PG,22,ATL,4,0,13,1,4,.250,1,4,.250,0,0,,.375,0,0,,0,2,2,1,0,1,0,0,3\
3,Steven Adams\\adamsst01,C,25,OKC,11,11,371,64,108,.593,0,0,,64,108,.593,.593,32,61,.525,54,64,118,18,15,12,15,27,160\
4,Bam Adebayo\\adebaba01,C,21,MIA,12,1,216,27,50,.540,0,2,.000,27,48,.563,.540,24,33,.727,24,47,71,11,7,6,13,32,78\
5,DeVaughn Akoon-Purcell\\akoonde01,SG,25,DEN,3,0,7,1,3,.333,0,1,.000,1,2,.500,.333,1,2,.500,1,0,1,0,0,0,0,1,3\
6,LaMarcus Aldridge\\aldrila01,C,33,SAS,11,11,391,83,192,.432,0,5,.000,83,187,.444,.432,47,60,.783,41,67,108,32,4,12,20,23,213\
7,Grayson Allen\\allengr01,SG,23,UTA,8,1,90,12,29,.414,6,19,.316,6,10,.600,.517,10,13,.769,0,2,2,3,0,0,2,8,40\
8,Jarrett Allen\\allenja01,C,20,BRK,13,13,343,59,98,.602,2,9,.222,57,89,.640,.612,28,46,.609,32,70,102,23,9,25,16,26,148\
9,Al-Farouq Aminu\\aminual01,PF,28,POR,13,13,376,36,88,.409,16,45,.356,20,43,.465,.500,22,26,.846,16,97,113,5,13,5,7,31,110\
10,Kyle Anderson\\anderky01,SF,25,MEM,11,8,290,25,58,.431,1,4,.250,24,54,.444,.440,11,19,.579,15,53,68,23,15,4,17,18,62\
11,Ryan Anderson\\anderry01,PF,30,PHO,11,8,238,18,55,.327,7,30,.233,11,25,.440,.391,11,14,.786,12,27,39,16,3,0,10,18,54\
12,Ike Anigbogu\\anigbik01,C,20,IND,1,0,3,0,2,.000,0,0,,0,2,.000,.000,0,0,,0,1,1,0,0,1,1,0,0\
13,Giannis Antetokounmpo\\antetgi01,PF,24,MIL,12,12,391,121,220,.550,2,26,.077,119,194,.613,.555,61,92,.663,31,125,156,69,17,16,56,41,305\
14,Carmelo Anthony\\anthoca01,PF,34,HOU,10,2,294,49,121,.405,21,64,.328,28,57,.491,.492,15,22,.682,9,45,54,5,4,7,8,32,134\
15,OG Anunoby\\anunoog01,SF,21,TOR,10,3,240,38,77,.494,12,37,.324,26,40,.650,.571,1,3,.333,8,21,29,5,6,3,6,27,89\
16,Ryan Arcidiacono\\arcidry01,PG,24,CHI,12,1,299,29,54,.537,19,36,.528,10,18,.556,.713,7,10,.700,1,21,22,53,10,1,10,28,84\
17,Trevor Ariza\\arizatr01,SF,33,PHO,12,12,407,39,105,.371,23,67,.343,16,38,.421,.481,24,27,.889,6,63,69,41,9,4,20,21,125\
18,D.J. Augustin\\augusdj01,PG,31,ORL,13,13,348,42,99,.424,22,51,.431,20,48,.417,.535,28,31,.903,10,22,32,60,9,0,14,13,134\
19,Deandre Ayton\\aytonde01,C,20,PHO,12,12,390,84,139,.604,0,0,,84,139,.604,.604,25,33,.758,33,98,131,36,8,9,24,31,193\
20,Dwayne Bacon\\bacondw01,SG,23,CHO,6,0,51,9,15,.600,4,7,.571,5,8,.625,.733,9,10,.900,1,3,4,4,2,0,0,8,31\
21,Marvin Bagley\\baglema01,PF,19,SAC,13,0,294,61,120,.508,7,14,.500,54,106,.509,.538,31,52,.596,32,44,76,11,7,16,28,26,160\
22,Ron Baker\\bakerro01,SG,25,NYK,8,0,87,1,11,.091,0,8,.000,1,3,.333,.091,5,6,.833,1,6,7,8,3,0,2,13,7\
23,Wade Baldwin\\baldwwa01,PG,22,POR,3,0,15,0,5,.000,0,2,.000,0,3,.000,.000,0,0,,0,3,3,2,0,0,3,1,0\
24,Lonzo Ball\\balllo01,PG,21,LAL,13,11,334,41,99,.414,21,58,.362,20,41,.488,.520,8,13,.615,10,52,62,64,16,1,21,25,111\
25,Mohamed Bamba\\bambamo01,C,20,ORL,13,0,250,42,78,.538,7,24,.292,35,54,.648,.583,6,12,.500,19,53,72,16,3,22,9,26,97\
